clusters,silhouette
2,0.407735701573
3,0.413594025163
4,0.447604620793
5,0.467163406274
6,0.452514441344
7,0.552805975077
8,0.587804452446
9,0.604878066441
10,0.593361586967
11,0.582213634585
12,0.619657338009
13,0.60754846096
14,0.621997726118
15,0.610825459659
16,0.629366121206
17,0.627715043754
18,0.617190411505
19,0.564378482193
20,0.578080081232
21,0.552739825514
22,0.567507941613
23,0.554016429546
24,0.570219576656
